id,name,image_path
1229,Jeff Bridges,/6ItMc51AeORUz6iIQxGnX3HEZaB.jpg
10205,Sigourney Weaver,/wTSnfktNBLd6kwQxgvkqYw6vEon.jpg
82191,Sharlto Copley,/em89OJJvBRX7kNJJPASmNKQujsC.jpg
9137,Renée Zellweger,/iNnPqkEF0hPWhmWpjyuLuUdbKN8.jpg
65,Ian Holm,/cOJDgvgj4nMec6Inzj1H5nugTO5.jpg
83002,Jessica Chastain,/lodMzLKSdrPcBry6TdoDsMN3Vge.jpg
3899,Ken Watanabe,/psAXOYp9SBOXvg6AXzARDedNQ9P.jpg
11288,Robert Pattinson,/3qZ09UE7lN6AtorfXFRYpEtSY93.jpg
77271,Pink,/kFtzIXVbyMgO71NHfRpKhQq1aA6.jpg
85,Johnny Depp,/k2xt6EUxQDwYRKIyI4IBdZxfs8n.jpg
59315,Olivia Wilde,/jYopRE6nhYGqpb64fVUKrbJVMy1.jpg
368,Reese Witherspoon,/o1z4UwW2137IViFIRk8AV8hWze1.jpg
204,Kate Winslet,/6qNnMsKtKz9si5rabpUEG85UfHp.jpg
5528,William Moseley,/6HTpmCaGhtLEY6OUhRaXYgldb0x.jpg
95101,Charlie Day,/c0HNhjChGybnHa4eoLyqO4dDu1j.jpg
24045,Joseph Gordon-Levitt,/z2FA8js799xqtfiFjBTicFYdfk.jpg
1333,Andy Serkis,/eNGqhebQ4cDssjVeNFrKtUvweV5.jpg
7962,Lou Romano,/1qOuqRzlp5BghzTkYSN3MsaEXgF.jpg
12077,Jim Cummings,/c0sQPRCM5Ri3F4gVyxPr4AcPmIq.jpg
2461,Mel Gibson,/jnqHMaOslt8cef2atSmOpGRvNla.jpg
112,Cate Blanchett,/vUuEHiAR0eD3XEJhg2DWIjymUAA.jpg
16431,Sam Elliott,/3DXgGHPFK2dOlwU1HqHrtTwluTD.jpg
16828,Chris Evans,/3bOGNsHlrswhyW79uvIHH1V43JI.jpg
6193,Leonardo DiCaprio,/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg
76512,Jason Clarke,/quH4y2dto3UAgZOfaM0QriyRLPN.jpg
